sample_id,status,history,original_query,rewritten_query,groundtruth,Latency,RougeL,Bleu,LLMJ
s_0,KEPT_ORIGINAL,"What is a physician's assistant? | physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients | What are the educational requirements required to become a physician's assistant? | Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program; | What does it cost to become a physician's assistant? | Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975. | What's the average starting salary for a physician's assistant in the UK? | Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships). | What's the average starting salary for a physician's assistant in the US? | An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries.",What school subjects are needed to become a registered nurse?,What school subjects are needed to become a registered nurse?,What school subjects are needed to become a registered nurse?,101.6526,1.0000,1.0000,0.00
s_1,REWRITTEN,"What is a physician's assistant? | physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients | What are the educational requirements required to become a physician's assistant? | Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program; | What does it cost to become a physician's assistant? | Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975. | What's the average starting salary for a physician's assistant in the UK? | Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships). | What's the average starting salary for a physician's assistant in the US? | An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries. | What school subjects are needed to become a registered nurse? | Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects. | What is the physician's assistant average salary vs a registered nurse? | Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS. | What the difference between a physician assistant and a nurse practitioner? | . Nurses follow a patient-centered model, in which they focus on disease prevention and health education and handle assessment, diagnosis and treatment. Physician assistants follow a disease-centered model, in which they focus on the biologic and pathologic components of health, and also practice assessment, diagnosis, and treatment. | Do nurse practitioners or physician assistants make more? | According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.",Is a PA above a NP?,Is a physician assistant considered to have a higher rank or level of authority than a nurse practitioner?,Is a physician assistants above a nurse practitioner?,146.8388,0.4615,0.1833,0.90
s_2,REWRITTEN,What are the main breeds of goat? | Abaza...Zhongwei,Tell me about boer goats.,What are the characteristics and uses of Boer goats?,Tell me about boer goats,88.6567,0.2857,0.0000,0.90
s_3,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa.",What about boer goats?,Are Boer goats good for meat?,Are boer goats good for meat?,67.6005,1.0000,0.6435,1.00
21,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa. | Are boer goats good for meat? | Boer goats were bred in South Africa for meat and selected for their superior body shape, high growth rate, and fertility. | What are pygmy goats used for? | While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk. | What is the best goat for fiber production? | Mohair goats are the most productive fiber producing animals. | How long do Angora goats live? | In our flock, it is not uncommon for our girls to go 9-11 years- undoubtedly we could push them longer, but they do not stay unless they can put kids on the ground. | Can you milk Angora goats? | Angora mothers have been known to not produce enough milk if they give birth to more than 1.",How many can you have per acre?,How many goats can you have per acre?,How many goats can you have per acre?,75.0381,1.0000,1.0000,1.00
22,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa. | Are boer goats good for meat? | Boer goats were bred in South Africa for meat and selected for their superior body shape, high growth rate, and fertility. | What are pygmy goats used for? | While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk. | What is the best goat for fiber production? | Mohair goats are the most productive fiber producing animals. | How long do Angora goats live? | In our flock, it is not uncommon for our girls to go 9-11 years- undoubtedly we could push them longer, but they do not stay unless they can put kids on the ground. | Can you milk Angora goats? | Angora mothers have been known to not produce enough milk if they give birth to more than 1. | How many goats can you have per acre? | Poor ground may support 2-4 goats per acre while better pasture may be able to support 6-8 goats per acre.",Are they profitable?,Are Boer goats profitable?,Are goats profitable?,53.1354,0.8571,0.0000,0.80
23,REWRITTEN,,Tell me about the types of irregular heart beat.,Tell me about the types of irregular heartbeat.,Tell me about the types of irregular heart beat.,74.4826,0.8235,0.6717,1.00
24,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium.",How serious is an irregular heart beat?,How serious is an irregular heartbeat?,How serious is an irregular heart beat?,60.0638,0.7692,0.5578,1.00
25,KEPT_ORIGINAL,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke.",What are the different types of tachycardia?,What are the different types of tachycardia?,What are the different types of tachycardia?,96.2058,1.0000,1.0000,1.00
26,KEPT_ORIGINAL,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",What is atrial flutter?,What is atrial flutter?,What is atrial flutter?,53.0303,1.0000,1.0000,1.00
27,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.",What causes it?,What causes atrial flutter?,What causes irregular heartbeat?,52.9589,0.5000,0.0000,0.50
28,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance.",What's the difference between flutter and fibrillation?,What is the difference between atrial flutter and atrial fibrillation?,What's the difference between flutter and fibrillation?,111.0099,0.7778,0.0000,1.00
